Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"Arrowhead Trail, CUMBERLAND, MD",https://www.estately.com/listings/info/arrowhead-trail-cumberland-md-21502,Arrowhead_Trail_CUMBERLAND_MD.jpg,"$56,900",Land For Sale,6 photos,Land For Sale,–,–,–,
"708 Fayette Street, CUMBERLAND, MD",https://www.estately.com/listings/info/708-fayette-street-cumberland-md-21502,708_Fayette_Street_CUMBERLAND_MD.jpg,"$210,000",House For Sale,14 photos,House For Sale,3,2,"2,178","11,756"
"512 Avirett Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/512-avirett-avenue-cumberland-md-21502,512_Avirett_Avenue_CUMBERLAND_MD.jpg,"$105,000",House For Sale,28 photos,House For Sale,3,1,"1,588","2,250"
"700 Fayette Street, CUMBERLAND, MD",https://www.estately.com/listings/info/700-fayette-street-cumberland-md-21502,700_Fayette_Street_CUMBERLAND_MD.jpg,"$525,000",House For Sale,12 photos,House For Sale,9,6,"5,280","13,204"
"635 Washington Street, CUMBERLAND, MD",https://www.estately.com/listings/info/635-washington-street-cumberland-md-21502,635_Washington_Street_CUMBERLAND_MD.jpg,"$610,000",House For Sale,13 photos,House For Sale,12,6,"4,248",
"461 Baltimore Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/461-baltimore-avenue-cumberland-md-21502--1,461_Baltimore_Avenue_CUMBERLAND_MD.jpg,"$29,900",House For Sale,1 photo,House For Sale,3,1,"1,092","4,415"
"304 N Waverly Terrace, CUMBERLAND, MD",https://www.estately.com/listings/info/304-n-waverly-terrace-cumberland-md-21502,304_N_Waverly_Terrace_CUMBERLAND_MD.jpg,"$75,000",House For Sale,19 photos,House For Sale,3,3,"1,404","1,716"
"Lots 3 & 4 Cherrywood Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/lots-3-4-cherrywood-avenue-cumberland-md-21502,Lots_3__4_Cherrywood_Avenue_CUMBERLAND_MD.jpg,"$79,900",Land For Sale,5 photos,Land For Sale,–,–,–,
"852 Maryland Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/852-maryland-avenue-cumberland-md-21502--1,852_Maryland_Avenue_CUMBERLAND_MD.jpg,"$10,000",House For Sale,19 photos,House For Sale,6,2,"2,624","5,200"
"5 Altamont Terrace, CUMBERLAND, MD",https://www.estately.com/listings/info/5-altamont-terrace-cumberland-md-21502--1,5_Altamont_Terrace_CUMBERLAND_MD.jpg,"$28,900",Land For Sale,9 photos,Land For Sale,–,–,–,"1,925"
"201 Fayette Street, CUMBERLAND, MD",https://www.estately.com/listings/info/201-fayette-street-cumberland-md-21502,201_Fayette_Street_CUMBERLAND_MD.jpg,"$389,900",House For Sale,82 photos,House For Sale,6,6,"3,960","2,579"
"708 Glenmore Street, CUMBERLAND, MD",https://www.estately.com/listings/info/708-glenmore-street-cumberland-md-21502,708_Glenmore_Street_CUMBERLAND_MD.jpg,"$148,400",House For Sale,16 photos,House For Sale,4,1,"1,470","4,534"
"327 Cumberland Street, CUMBERLAND, MD",https://www.estately.com/listings/info/327-cumberland-street-cumberland-md-21502,327_Cumberland_Street_CUMBERLAND_MD.jpg,"$168,400",House For Sale,37 photos,House For Sale,3,2,"2,486","3,218"
"532 Cumberland Street, CUMBERLAND, MD",https://www.estately.com/listings/info/532-cumberland-street-cumberland-md-21502,532_Cumberland_Street_CUMBERLAND_MD.jpg,"$212,400",House For Sale,42 photos,House For Sale,7,4,"2,940","5,200"
"423 Franklin Street, CUMBERLAND, MD",https://www.estately.com/listings/info/423-franklin-street-cumberland-md-21502,423_Franklin_Street_CUMBERLAND_MD.jpg,"$100,000",House For Sale,16 photos,House For Sale,3,1,912,"3,150"
"100 Mullen Street, CUMBERLAND, MD",https://www.estately.com/listings/info/100-mullen-street-cumberland-md-21502--1,100_Mullen_Street_CUMBERLAND_MD.jpg,"$219,900",House For Sale,54 photos,House For Sale,3,2,"2,448","4,791"
"320 Columbia Street, CUMBERLAND, MD",https://www.estately.com/listings/info/320-columbia-street-cumberland-md-21502,320_Columbia_Street_CUMBERLAND_MD.jpg,"$169,000",House For Sale,48 photos,House For Sale,4,2,"1,962","3,500"
"834 Camden Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/834-camden-avenue-cumberland-md-21502,834_Camden_Avenue_CUMBERLAND_MD.jpg,"$399,000",House For Sale,74 photos,House For Sale,5,3,"3,452",
"Marshall Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/marshall-avenue-cumberland-md-21502--1,Marshall_Avenue_CUMBERLAND_MD.jpg,"$3,000",Land For Sale,1 photo,Land For Sale,–,–,–,"3,462"
"Marshall Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/marshall-avenue-cumberland-md-21502,Marshall_Avenue_CUMBERLAND_MD.jpg,"$4,000",Land For Sale,1 photo,Land For Sale,–,–,–,"15,000"
"Brown Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/brown-avenue-cumberland-md-21502--4,Brown_Avenue_CUMBERLAND_MD.jpg,"$3,000",Land For Sale,2 photos,Land For Sale,–,–,–,"2,000"
"Dale Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/dale-avenue-cumberland-md-21502,Dale_Avenue_CUMBERLAND_MD.jpg,"$3,000",Land For Sale,2 photos,Land For Sale,–,–,–,"2,278"
"Fairmont Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/fairmont-avenue-cumberland-md-21502,Fairmont_Avenue_CUMBERLAND_MD.jpg,"$3,000",Land For Sale,1 photo,Land For Sale,–,–,–,"3,772"
"Mckinley Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/mckinley-avenue-cumberland-md-21502,Mckinley_Avenue_CUMBERLAND_MD.jpg,"$5,000",Land For Sale,1 photo,Land For Sale,–,–,–,"7,500"
"Forster Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/forster-avenue-cumberland-md-21502,Forster_Avenue_CUMBERLAND_MD.jpg,"$5,000",Land For Sale,1 photo,Land For Sale,–,–,–,"7,000"
"877 Patterson Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/877-patterson-avenue-cumberland-md-21502,877_Patterson_Avenue_CUMBERLAND_MD.jpg,"$45,000",Multifamily For Sale,4 photos,Multifamily For Sale,–,–,"6,615","4,075"
"Harding Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/harding-avenue-cumberland-md-21502,Harding_Avenue_CUMBERLAND_MD.jpg,"$15,000",Land For Sale,1 photo,Land For Sale,–,–,–,
"Oakland Street, CUMBERLAND, MD",https://www.estately.com/listings/info/oakland-street-cumberland-md-21502,Oakland_Street_CUMBERLAND_MD.jpg,"$15,000",Land For Sale,1 photo,Land For Sale,–,–,–,
"Hunt Terrace, CUMBERLAND, MD",https://www.estately.com/listings/info/hunt-terrace-cumberland-md-21502,Hunt_Terrace_CUMBERLAND_MD.jpg,"$6,000",Land For Sale,1 photo,Land For Sale,–,–,–,"11,070"
"Marshall Brown Street, CUMBERLAND, MD",https://www.estately.com/listings/info/marshall-brown-street-cumberland-md-21502,Marshall_Brown_Street_CUMBERLAND_MD.jpg,"$5,000",Land For Sale,1 photo,Land For Sale,–,–,–,"5,000"
"Angle Street, CUMBERLAND, MD",https://www.estately.com/listings/info/angle-street-cumberland-md-21502,Angle_Street_CUMBERLAND_MD.jpg,"$7,000",Land For Sale,1 photo,Land For Sale,–,–,–,"5,900"
"Gray Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/gray-avenue-cumberland-md-21502--3,Gray_Avenue_CUMBERLAND_MD.jpg,"$6,000",Land For Sale,2 photos,Land For Sale,–,–,–,"6,150"
"1924 Bedford Street, CUMBERLAND, MD",https://www.estately.com/listings/info/1924-bedford-street-cumberland-md-21502,1924_Bedford_Street_CUMBERLAND_MD.jpg,"$80,000",Land For Sale,14 photos,Land For Sale,–,–,–,
"410 Bedford Street, CUMBERLAND, MD",https://www.estately.com/listings/info/410-bedford-street-cumberland-md-21502,410_Bedford_Street_CUMBERLAND_MD.jpg,"$124,900",House For Sale,9 photos,House For Sale,4,1,"1,600","2,520"
"322 324 326 N Mechanic Street, CUMBERLAND, MD",https://www.estately.com/listings/info/322-324-326-n-mechanic-street-cumberland-md-21502,322_324_326_N_Mechanic_Street_CUMBERLAND_MD.jpg,"$49,900",Land For Sale,1 photo,Land For Sale,–,–,–,"7,405"
"1112 Bishop Walsh Road, CUMBERLAND, MD",https://www.estately.com/listings/info/1112-bishop-walsh-road-cumberland-md-21502,1112_Bishop_Walsh_Road_CUMBERLAND_MD.jpg,"$315,000",House For Sale,45 photos,House For Sale,4,3,"4,088",
"406 Warwick Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/406-warwick-avenue-cumberland-md-21502,406_Warwick_Avenue_CUMBERLAND_MD.jpg,"$135,000",House For Sale,19 photos,House For Sale,2,2,"1,023","4,720"
"655 Washington Street, CUMBERLAND, MD",https://www.estately.com/listings/info/655-washington-street-cumberland-md-21502,655_Washington_Street_CUMBERLAND_MD.jpg,"$325,000",House For Sale,51 photos,House For Sale,3,4,"2,335","7,800"
"220 N Mechanic Street, CUMBERLAND, MD",https://www.estately.com/listings/info/220-n-mechanic-street-cumberland-md-21502,220_N_Mechanic_Street_CUMBERLAND_MD.jpg,"$154,000",Land For Sale,5 photos,Land For Sale,–,–,–,"4,750"
"Lot 37 Cherrywood Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/lot-37-cherrywood-avenue-cumberland-md-21502,Lot_37_Cherrywood_Avenue_CUMBERLAND_MD.jpg,"$45,000",Land For Sale,6 photos,Land For Sale,–,–,–,
"831 Windsor Road, CUMBERLAND, MD",https://www.estately.com/listings/info/831-windsor-road-cumberland-md-21502,831_Windsor_Road_CUMBERLAND_MD.jpg,"$295,000",House For Sale,78 photos,House For Sale,4,4,"2,686",
"411 Louisiana Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/411-louisiana-avenue-cumberland-md-21502,411_Louisiana_Avenue_CUMBERLAND_MD.jpg,"$169,900",House For Sale,58 photos,House For Sale,3,2,"1,474","4,188"
