Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"5110 Avenue K, Flatlands, NY",https://www.estately.com/listings/info/5110-avenue-k-flatlands-ny-11234,5110_Avenue_K_Flatlands_NY.jpg,"$912,000",Multifamily For Sale,19 photos,HomeSmart CrossIsland,4,2,–,"1,518"
"83 George Street, Bushwick, NY",https://www.estately.com/listings/info/83-george-street-bushwick-ny-11206--2,83_George_Street_Bushwick_NY.jpg,"$1,590,000",Multifamily For Sale,12 photos,Oxford Property Group USA,5,4,–,"2,033"
"1733 E 14th St Unit D, Brooklyn, NY",https://www.estately.com/listings/info/1733-e-14th-st-brooklyn-ny-11229,1733_E_14th_St_UnitD_Brooklyn_NY.jpg,"$750,000",Condo For Sale,15 photos,Keller Williams NYC,3,2,"1,190",
"274 Knickerbocker Avenue, Bushwick, NY",https://www.estately.com/listings/info/274-knickerbocker-avenue-bushwick-ny-11237,274_Knickerbocker_Avenue_Bushwick_NY.jpg,"$2,099,999",House,2 photos,Concrete Jungle NYC Realty,3,8,–,"2,500"
"2427 Stuart Street, Brooklyn, NY",https://www.estately.com/listings/info/2427-stuart-street-brooklyn-ny-11229,2427_Stuart_Street_Brooklyn_NY.jpg,"$882,980",Multifamily For Sale,1 photo,REALHome Services & Solutions,4,2,"1,563","1,992"
"472 Irving Avenue, Bushwick, NY",https://www.estately.com/listings/info/472-irving-avenue-bushwick-ny-11237,472_Irving_Avenue_Bushwick_NY.jpg,"$1,300,000",Multifamily For Sale,11 photos,Sovereign Realty of NY Inc,6,3,"3,300","1,900"
"80 Fenimore Street, Brooklyn, NY",https://www.estately.com/listings/info/80-fenimore-brooklyn-ny-11225,80_Fenimore_Street_Brooklyn_NY.jpg,"$1,900,000",Multifamily For Sale,5 photos,"Hudson Group Rlty Network, Inc",7,3,"3,516","2,613"
"825 E 21st Street, Midwood, NY",https://www.estately.com/listings/info/825-e-21st-street-midwood-ny-11210,825_E_21st_Street_Midwood_NY.jpg,"$1,588,888",Multifamily For Sale,33 photos,Redfin Real Estate,5,3,"2,702","2,500"
"3203 Nostrand Avenue Unit 4H, Sheepshead Bay, NY",https://www.estately.com/listings/info/3203-nostrand-avenue-sheepshead-bay-ny-11235,3203_Nostrand_Avenue_Unit4H_Sheepshead_Bay_NY.jpg,"$280,000",House For Sale,6 photos,Sterling Anderson Realty Group,1,1,750,
"3136 Emmons Avenue, Sheepshead Bay, NY",https://www.estately.com/listings/info/3136-emmons-avenue-sheepshead-bay-ny-11235,3136_Emmons_Avenue_Sheepshead_Bay_NY.jpg,"$969,000",Condo For Sale,23 photos,"High Class Realty SB, LLC",2,3,"1,442",
"1687 E 48th Street, Mill Basin, NY",https://www.estately.com/listings/info/1687-e-48th-street-mill-basin-ny-11234,1687_E_48th_Street_Mill_Basin_NY.jpg,"$1,299,000",Multifamily For Sale,24 photos,Suits Realty LLC,8,5,–,"2,000"
"644/646 Shepherd Avenue, East New York, NY",https://www.estately.com/listings/info/644-shepherd-avenue-east-new-york-ny-11208,644646_Shepherd_Avenue_East_New_York_NY.jpg,"$939,000",Multifamily For Sale,17 photos,Unlimited Homes Realty Inc,5,4,–,"2,002"
"3915 Avenue I, Midwood, NY",https://www.estately.com/listings/info/3915-avenue-i-midwood-ny-11210,3915_Avenue_I_Midwood_NY.jpg,"$749,000",House For Sale,22 photos,ERA/Top Service Realty Inc,3,2,"1,430","1,950"
"8523 Avenue J, Canarsie, NY",https://www.estately.com/listings/info/8523-avenue-j-canarsie-ny-11236,8523_Avenue_J_Canarsie_NY.jpg,"$1,425,800",Multifamily For Sale,14 photos,Liberty Chateau Realty Inc,7,4,"2,900","2,567"
"414 Elmwood Avenue Unit 6A, Midwood, NY",https://www.estately.com/listings/info/414-elmwood-avenue-midwood-ny-11230,414_Elmwood_Avenue_Unit6A_Midwood_NY.jpg,"$299,000",House For Sale,8 photos,Coldwell Banker Reliable R E,1,1,800,
