Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"43 29 172nd Street, Flushing, NY",https://www.estately.com/listings/info/43-29-172nd-street-flushing-ny-11358--1,43_29_172nd_Street_Flushing_NY.jpg,"$1,199,999",House For Sale,1 photo,Keller Williams Rlty Landmark,3,2,–,"4,621"
"70 11 261st Street Unit E-1, Glen Oaks, NY",https://www.estately.com/listings/info/70-11-261st-street-glen-oaks-ny-11004--2,70_11_261st_Street_UnitE1_Glen_Oaks_NY.jpg,"$389,900",House,1 photo,Miller & Miller Real Estate,2,1,732,
"96 42 149 Avenue, Ozone Park, NY",https://www.estately.com/listings/info/96-42-149-avenue-ozone-park-ny-11417,96_42_149_Avenue_Ozone_Park_NY.jpg,"$700,000",House For Sale,22 photos,Winzone Realty Inc,3,2,"1,120","3,360"
"118 32 218th Street, Cambria Heights, NY",https://www.estately.com/listings/info/118-32-218th-street-cambria-heights-ny-11411,118_32_218th_Street_Cambria_Heights_NY.jpg,"$610,000",House For Sale,5 photos,Coldwell Banker American Homes,4,3,"1,092","5,200"
"1429 65th Street, Dyker Heights, NY",https://www.estately.com/listings/info/1429-65th-street-dyker-heights-ny-11219,1429_65th_Street_Dyker_Heights_NY.jpg,"$1,580,000",Multifamily For Sale,11 photos,Winzone Realty Inc,7,4,–,"2,000"
"73 04 69th Avenue, Middle Village, NY",https://www.estately.com/listings/info/73-04-69th-avenue-middle-village-ny-11379,73_04_69th_Avenue_Middle_Village_NY.jpg,"$599,000",House For Sale,1 photo,Macaluso Realty,2,1,–,"1,710"
"97 34 92nd Street, Ozone Park, NY",https://www.estately.com/listings/info/97-34-92nd-street-ozone-park-ny-11416,97_34_92nd_Street_Ozone_Park_NY.jpg,"$1,100,000",Multifamily For Sale,33 photos,Century 21 Amiable Rlty Grp II,6,2,"2,800","4,000"
"798 E 21st Street, Brooklyn, NY",https://www.estately.com/listings/info/798-e-21st-street-midwood-ny-11210,798_E_21st_Street_Brooklyn_NY.jpg,"$1,900,000",House For Sale,35 photos,BHHS Hudson Valley Properties,6,4,"2,470",
"252 02 Leith Road, Little Neck, NY",https://www.estately.com/listings/info/252-02-leith-road-little-neck-ny-11362,252_02_Leith_Road_Little_Neck_NY.jpg,"$1,580,000",Land For Sale,2 photos,Excellent Realty LLC,–,–,–,"6,774"
"26910 Grand Central Unit 30N, Floral Park, NY",https://www.estately.com/listings/info/26910-grand-central-floral-park-ny-11005--1,26910_Grand_Central_Unit30N_Floral_Park_NY.jpg,"$949,000",House For Sale,23 photos,Magic Of Great Neck Realty Inc,2,3,"1,600",
"16 35 Bell Boulevard, Bayside, NY",https://www.estately.com/listings/info/16-35-bell-boulevard-bayside-ny-11360,16_35_Bell_Boulevard_Bayside_NY.jpg,"$1,650,000",Multifamily For Sale,20 photos,Chase Global Realty Corp,7,5,"3,400","3,200"
"169 72 144th Road, Jamaica, NY",https://www.estately.com/listings/info/169-72-144th-road-jamaica-ny-11434,169_72_144th_Road_Jamaica_NY.jpg,"$761,000",House For Sale,5 photos,Winzone Realty Inc,3,2,–,"3,000"
"31 31 138th Street Unit 1C, Flushing, NY",https://www.estately.com/listings/info/31-31-138th-street-flushing-ny-11354--14,31_31_138th_Street_Unit1C_Flushing_NY.jpg,"$310,000",House For Sale,4 photos,E Realty International Corp,1,1,880,
"117 Malba Drive, Malba, NY",https://www.estately.com/listings/info/117-malba-drive-malba-ny-11357--1,117_Malba_Drive_Malba_NY.jpg,"$7,888,888",House For Sale,36 photos,Daniel Gale Sothebys Intl Rlty,5,6,"8,300",
"114 50 121 St Street, Jamaica, NY",https://www.estately.com/listings/info/114-50-121-st-street-jamaica-ny-11420,114_50_121_St_Street_Jamaica_NY.jpg,"$799,999",House For Sale,21 photos,Next Level Homes Group Ltd,3,3,–,"2,500"
"87 11 80th Street, Woodhaven, NY",https://www.estately.com/listings/info/87-11-80th-woodhaven-ny-11421,87_11_80th_Street_Woodhaven_NY.jpg,"$798,888",Multifamily,6 photos,EXP Realty,3,3,–,"1,600"
"1510 Archer Road Unit 4A, BRONX, NY",https://www.estately.com/listings/info/1510-archer-road-bronx-ny-10462--9,1510_Archer_Road_Unit4A_BRONX_NY.jpg,"$215,000",Condo For Sale,8 photos,Han Tang Realty Inc.,1,1,638,
